path,.,_id,custom_id,imageUrl,coco_url,annotation,training,validation
interface,"{""type"":""text_entity_recognition"",""labels"":[{""id"":""food"",""displayName"":""Food"",""description"":""Edible item.""},{""id"":""hat"",""displayName"":""Hat"",""description"":""Something worn on the head.""}],""regionTypesAllowed"":[""bounding-box"",""polygon"",""point""],""overlapAllowed"":false}",,,,,,,
samples.0,,s46uxcz7k,226658,http://farm6.staticflickr.com/5260/5547117835_c548c84230_z.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000226658.jpg,bottle,TRUE,
samples.1,,s8gjpu9ae,109588,http://farm3.staticflickr.com/2162/2151854239_5f9d7997d7_z.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000109588.jpg,bottle,TRUE,
samples.2,,sf6pw0c1a,257392,http://farm6.staticflickr.com/5519/9924954803_6a5af5f531_z.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000257392.jpg,bottle,TRUE,
samples.3,,s2uqk0dzq,547165,http://farm4.staticflickr.com/3412/3418987977_1770a798c6_z.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000547165.jpg,bottle,TRUE,
samples.4,,splmvbqsi,500891,http://farm8.staticflickr.com/7230/7206055552_3b927426f8_z.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000500891.jpg,bottle,TRUE,
samples.5,,ssnu4nqp5,217252,http://farm8.staticflickr.com/7354/8724904982_6aa6627c31_z.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000217252.jpg,bottle,TRUE,
samples.6,,sbhddv91f,560260,http://farm7.staticflickr.com/6140/5984984924_bbfc21e921_z.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000560260.jpg,bottle,TRUE,
samples.7,,shm1hkfsa,405207,http://farm3.staticflickr.com/2150/2259915284_0fff851619_z.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000405207.jpg,bottle,TRUE,
samples.8,,s928vyhqa,263764,http://farm8.staticflickr.com/7034/6450081305_f78bafe1ce_z.jpg,http://images.cocodataset.org/train2014/COCO_train2014_000000263764.jpg,bottle,TRUE,
